SKU,DESCRIPCION,GRUPO,FAMILIA,SUBFAMILIA,TIPO
P0402018502,GRANITO NEW GOLDEN SILVER PLACA X 2.0cm LEATHER,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO NEW GOLDEN SILVER
P0402018503,GRANITO NEW GOLDEN SILVER PLACA X 2.0cm MATE,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO NEW GOLDEN SILVER
P0102018501,GRANITO NEW GOLDEN SILVER PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO NEW GOLDEN SILVER
P0102018601,GRANITO RAGGIO DI SOLE  PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO RAGGIO DI SOLE
P0102018701,CUARCITA STONE WOOD PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,CUARCITAS,CUARCITA STONE WOOD
P0107018704,CUARCITA STONE WOOD PLACA X 2.0cm LEATHER,PIEDRAS NATURALES,PLACAS EXOTICAS,CUARCITAS,CUARCITA STONE WOOD
P0102018801,GRANITO BLANCO DALLAS PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS BASICAS,GRANITOS,GRANITO BLANCO DALLAS
P0102018810,BLANCO DALLAS 60X40X2CMS PULIDO,PIEDRAS NATURALES,LOZAS,GRANITOS,GRANITO BLANCO DALLAS
P0102018811,BLANCO DALLAS 60X60X2CMS PULIDO,PIEDRAS NATURALES,LOZAS,GRANITOS,GRANITO BLANCO DALLAS
P0102018812,BLANCO DALLAS 60X120X2CMS PULIDO,PIEDRAS NATURALES,LOZAS,GRANITOS,GRANITO BLANCO DALLAS
P0102018814,"GRANITO BLANCO DALLAS ""ECO LINE"" PLACA X 2.0cm PULIDO",PIEDRAS NATURALES,PLACAS BASICAS,GRANITOS,GRANITO BLANCO DALLAS
P0102018822,GRANITO BLANCO DALLAS PLACA X 2.0cm CEPILLADO,PIEDRAS NATURALES,PLACAS BASICAS,GRANITOS,GRANITO BLANCO DALLAS
P0110018901,SEMIPRECIOSA EMERALD FLUORITE PLACA,PIEDRAS NATURALES,PLACAS EXOTICAS,SEMIPRECIOSAS,SEMIPRECIOSA EMERALD
P0108019001,ONIX IVORY PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,ONIX,ONIX IVORY
P0420059820,MATERIAL DE RECUPERACION MSK ONIX IVORY PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,ONIX,ONIX IVORY
P0102019101,GRANITO KOSMUS (ADP) PLACA X 2.0cm LEATHER,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0102019102,GRANITO KOZMUS PLACA X 2.cm LEATHER,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0102033401,GRANITO KOZMUS PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0402019156,"GRANITO KOSMUS ""ECO"" PLACA X 2.0cm PULIDO",PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0402019158,GRANITO KOSMUS GOLD PLACA 2 CM PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0402019168,GRANITO KOSMUS GOLD PLACA 2 CM LEATHER,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0402019258,"GRANITO KOSMUS ""ECO"" PLACA X 2.0cm LEATHER",PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0312022451,GRANITO KOSMUS (ADP) PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO KOSMUS
P0102019201,GRANITO BROWN CHOCOLATE LEATHER PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO BROWN CHOCOLATE
